
Filing of other forms/documents, X00E, Sworn affidavit in Court, 30/05/2024, 228, YES
Filing of other forms/documents, X00E, Sworn affidavit in Court, 02/11/2023, 215, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 25/08/2022, 199, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 23/08/2022, 198, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 06/07/2022, 196, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 06/07/2022, 195, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 06/07/2022, 194, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 06/07/2022, 193, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 31/05/2021, 179, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 12/02/2021, 175, YES

Filing of other forms/documents, X01E, Sworn Affidavit, 11/11/2020, 169, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 29/05/2019, 150, YES
Reduction of Capital, X01E, Sworn Affidavit, 29/12/2017, 127, YES
Filing of other forms/documents, X00E, Sworn affidavit in Court, 20/07/2017, 121, YES
Amendment of the Articles, X01E, Sworn Affidavit, 21/06/2017, 118, YES
Filing of other forms/documents, X00E, Sworn affidavit in Court, 18/01/2017, 111, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 18/01/2017, 110, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 07/12/2015, 85, YES
Filing of other forms/documents, X01E, Sworn Affidavit, 03/12/2014, 67, YES
Filing of other forms/documents, X00E, Sworn affidavit in Court, 01/09/2014, 60, YES
