
Amendment of the Articles, XI03, New Articles, 03/10/2024, 809, YES
Amendment of the Articles, XR00, Resolution, 03/10/2024, 808, YES
Alteration of officers and of their particulars, XL00, Letter, 25/06/2024, 807, YES
Alteration of officers and of their particulars, HE4, HE4-Notification of change of Officers and of their particulars, 25/06/2024, 806, YES
Alteration of officers and of their particulars, XL00, Letter, 09/05/2024, 805, YES
Alteration of officers and of their particulars, HE4, HE4-Notification of change of Officers and of their particulars, 09/05/2024, 804, YES
Rectification of alteration of officials and of their particulars, XL00, Letter, 30/01/2024, 803, YES
Rectification of alteration of officials and of their particulars, HE4, HE4-Notification of change of Officers and of their particulars, 30/01/2024, 802, YES
Filing of other forms/documents, XSB, XXX, 08/01/2024, 801, YES
Alteration of officers and of their particulars, XL00, Letter, 21/12/2023, 800, YES

Alteration of officers and of their particulars, HE4, HE4-Notification of change of Officers and of their particulars, 21/12/2023, 799, YES
Alteration of officers and of their particulars, XL00, Letter, 13/12/2023, 798, YES
Alteration of officers and of their particulars, HE4, HE4-Notification of change of Officers and of their particulars, 13/12/2023, 797, YES
Alteration of officers and of their particulars, XL00, Letter, 23/11/2023, 796, YES
Alteration of officers and of their particulars, HE4, HE4-Notification of change of Officers and of their particulars, 23/11/2023, 795, YES
Alteration of officers and of their particulars, XL00, Letter, 22/11/2023, 792, YES
Alteration of officers and of their particulars, HE4, HE4-Notification of change of Officers and of their particulars, 22/11/2023, 791, YES
Amendment of the Articles, XI03, New Articles, 02/11/2023, 790, YES
Amendment of the Articles, XR00, Resolution, 02/11/2023, 789, YES
Filing of Annual Return of Public Company, XACC, Accounts, 11/09/2018, 786, YES
