Service Description	Order Date	Order Number	Order Service Number

Alteration of officers and of their particulars	18/12/2020	2875397	1
Alteration of officers and of their particulars	21/12/2020	2875528	1
Amendment of the Memorandum	11/11/2020	2845694	1
Certificate of Capital	01/09/2014	1614278	18
Certificate of Capital	22/01/2015	1671443	1
Certificate of Capital	05/05/2015	1717284	1
Certificate of Capital	30/06/2015	1745130	1
Certificate of Capital	30/09/2015	1788315	1
Certificate of Capital	18/12/2015	1832080	1
Certificate of Capital	31/12/2015	1837596	1
Service Description	Order Date	Order Number	Order Service Number

Certificate of Capital	04/03/2016	1876539	1
Certificate of Capital	06/04/2016	1892826	1
Certificate of Capital	14/07/2016	1943893	1
Certificate of Capital	08/09/2016	1968356	7
Certificate of Capital	30/09/2016	1978912	1
Certificate of Capital	13/12/2016	2018007	4
Certificate of Capital	30/12/2016	2028176	1
Certificate of Capital	18/01/2017	2039589	5
Certificate of Capital	20/07/2017	2139696	2
Certificate of Capital	29/12/2017	2220969	1
Service Description	Order Date	Order Number	Order Service Number

Certificate of Capital	29/12/2017	2221241	1
Certificate of Capital	11/05/2018	2291562	1
Certificate of Capital	29/06/2018	2320376	5
Certificate of Capital	28/09/2018	2366016	1
Certificate of Capital	08/11/2018	2387954	2
Certificate of Capital	02/01/2019	2416621	2
Certificate of Capital	29/03/2019	2469611	1
Certificate of Capital	10/05/2019	2491600	4
Certificate of Capital	28/06/2019	2520811	1
Certificate of Capital	30/09/2019	2576313	1
Service Description	Order Date	Order Number	Order Service Number

Certificate of Capital	30/12/2019	2645845	1
Certificate of Capital	31/03/2020	2716847	1
Certificate of Capital	30/06/2020	2764526	1
Certificate of Capital	30/09/2020	2819749	1
Certificate of Capital	28/12/2020	2877996	1
Certificate of Capital	26/03/2021	2948537	1
Certificate of Capital	29/06/2021	3035080	1
Certificate of Capital	28/09/2021	3092972	1
Certificate of Capital	25/10/2021	3113511	1
Certificate of Capital	04/01/2022	3165775	2
Service Description	Order Date	Order Number	Order Service Number

Certificate of Capital	29/03/2022	3235421	1
Certificate of Capital	28/06/2022	3295634	1
Certificate of Capital	27/09/2022	3354391	1
Certificate of Capital	28/12/2022	3419689	1
Certificate of Capital	28/06/2023	3548732	1
Certificate of Capital	28/12/2023	3675049	5
Certificate of Capital	17/09/2024	3876191	1
Certificate of Capital	28/11/2024	3929831	1
Certificate of Directors	10/06/2013	1434613	6
Certificate of Directors for specific date/period	10/06/2013	1434613	7
Service Description	Order Date	Order Number	Order Service Number

Certificate of Shareholders	19/11/2014	1645111	3
Certificate of Shareholders	23/04/2018	2282141	1
Certificate of Shareholders	16/05/2019	2495315	1
Certificate of Shareholders	14/06/2019	2513095	1
Certificate of Shareholders	30/07/2019	2543265	1
Certificate of Shareholders	20/10/2022	3371731	1
Certificate of Shareholders	29/12/2022	3421257	1
Certificate of Shareholders	09/02/2023	3459798	2
Certificate of Shareholders	07/03/2023	3476472	1
Certificate of Shareholders	01/03/2024	3742048	1
Service Description	Order Date	Order Number	Order Service Number

Certificate of Shareholders	03/12/2024	3933166	3
Certified copy of certificate of incorporation	06/06/2017	2113535	13
Certified copy of companies forms	14/07/2014	1595634	1
Certified copy of companies forms	12/04/2017	2087760	54
Certified copy of Memorandum and Articles of a company	16/06/2022	3288174	3
Filing of Annual Return of Public Company	06/09/2021	3077299	1
Filing of Annual Return of Public Company	05/09/2022	3336933	1
Filing of Annual Return of Public Company	19/09/2023	3596919	1
Filing of Annual Return of Public Company	23/09/2024	3880266	1
Filing of other forms/documents	13/01/2006	534655	2
Service Description	Order Date	Order Number	Order Service Number

Filing of other forms/documents	22/05/2006	572606	1
Filing of other forms/documents	26/10/2010	1065237	3
Filing of other forms/documents	20/12/2011	1205713	2
Filing of other forms/documents	11/01/2012	1217789	5
Filing of other forms/documents	11/01/2012	1217789	6
Filing of other forms/documents	11/01/2012	1217789	7
Filing of other forms/documents	11/01/2012	1217789	8
Filing of other forms/documents	11/01/2012	1217789	9
Filing of other forms/documents	11/01/2012	1217789	10
Filing of other forms/documents	11/01/2012	1217789	11
Service Description	Order Date	Order Number	Order Service Number

Filing of other forms/documents	11/01/2012	1217789	12
Filing of other forms/documents	11/01/2012	1217789	13
Filing of other forms/documents	24/01/2012	1227069	1
Filing of other forms/documents	09/04/2012	1257990	1
Filing of other forms/documents	24/02/2020	2702257	1
Filing of other forms/documents	13/10/2020	2836201	1
Filing of other forms/documents	23/01/2024	3704226	1
Full set of certified copies	22/02/2007	654370	1
Reduction of Capital	20/07/2017	2139696	1
